molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value,pChEMBL_value
CHEMBL161757,NC1=NC(c2cccc(Oc3cc(Cl)cc(Cl)c3)c2)N(c2cccc(Cl)c2)C(N)=N1,intermediate,3400.0,5.47
CHEMBL346982,CCCOc1ccc(C2N=C(N)N=C(N)N2c2cccc(Cl)c2)cc1,active,380.0,6.42
CHEMBL7130,CC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,active,2.2,8.66
CHEMBL21407,COC(=O)CCCc1nc(N)nc(N)c1-c1ccccc1,active,0.6,9.22
CHEMBL22693,Nc1nc(N)c(-c2ccccc2)c(CCCc2ccccc2)n1,active,4.7,8.33
CHEMBL161034,NC1=NC(c2ccc(Oc3ccccc3)cc2)N(c2ccc(Cl)cc2)C(N)=N1,active,0.4,9.4
CHEMBL161034,NC1=NC(c2ccc(Oc3ccccc3)cc2)N(c2ccc(Cl)cc2)C(N)=N1,active,29.3,7.53
CHEMBL278847,CCc1nc(N)nc(N)c1-c1cccc(Cl)c1,intermediate,9100.0,5.04
CHEMBL21691,Nc1nc(N)c(-c2ccc(Cl)cc2)c(CCCc2ccccc2)n1,active,170.0,6.77
CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,active,80.0,7.1
CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,inactive,41700.0,4.38
CHEMBL329687,NC1=NC(c2ccccc2)N(c2cccc(Cl)c2)C(N)=N1,active,20.0,7.7
CHEMBL95725,COC(=O)c1sccc1-c1ccc(/C(C)=N/NC(N)=O)o1,inactive,19700.0,4.71
CHEMBL95567,NNc1nc2ccccc2nc1NN,intermediate,2700.0,5.57
CHEMBL22138,Nc1ncc(Cc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)c(N)n1,intermediate,6750.0,5.17
CHEMBL22138,Nc1ncc(Cc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)c(N)n1,intermediate,8130.0,5.09
CHEMBL416376,COc1cc(COc2ccc(Cc3cnc(N)nc3N)cc2)cc(OC)c1OC,active,150.0,6.82
CHEMBL118602,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OC)c1,active,120.0,6.92
CHEMBL21778,CCc1nc(N)nc(N)c1-c1ccc(C)cc1,active,10.6,7.97
CHEMBL21778,CCc1nc(N)nc(N)c1-c1ccc(C)cc1,active,14.7,7.83
CHEMBL278813,COc1ccc(CCCc2nc(N)nc(N)c2-c2cccc(Cl)c2)cc1,active,2.9,8.54
CHEMBL158691,CC(C)C1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,intermediate,2177.0,5.66
CHEMBL21885,CCc1nc(N)nc(N)c1-c1ccc(C(C)(C)C)cc1,active,126.9,6.9
CHEMBL281412,CCc1nc(N)nc(N)c1-c1ccc(OC)cc1,active,0.9,9.05
CHEMBL281412,CCc1nc(N)nc(N)c1-c1ccc(OC)cc1,active,39.0,7.41
CHEMBL21691,Nc1nc(N)c(-c2ccc(Cl)cc2)c(CCCc2ccccc2)n1,inactive,10600.0,4.97
CHEMBL25112,Nc1ncc(Cc2ccc(OCCCOc3cc(Cl)c(Cl)cc3Cl)cc2)c(N)n1,active,39.1,7.41
CHEMBL25112,Nc1ncc(Cc2ccc(OCCCOc3cc(Cl)c(Cl)cc3Cl)cc2)c(N)n1,intermediate,3500.0,5.46
CHEMBL21921,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCc2ccccc2)n1,active,2.0,8.7
CHEMBL118202,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCCCOCCCOc1ccccc1,active,937.4,6.03
CHEMBL416373,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,intermediate,3400.0,5.47
